index,name,description
47,zero_valve,Zero air valve state (0=closed 1=open)
49,cal_valve,Calibration valve state (0=closed 1=open)
95,zero_flow,Zero air flow rate (sccm)
97,cal_flow,Calibration gas flow rate (sccm)
99,imr_rfv,IMR RF voltage (V)
11,imr_p,IMR pressure (mbar)
10,imr_pset,IMR pressure setpoint (mbar)
7,water_flowset,Water flow setpoint (sccm)
8,water_flow,Water flow rate (sccm)
75,temp,Temperature (C)
76,tempset,Temperature setpoint (C)
145,skimmerset,Skimmer voltage setpoint (V)
146,skimmer,Skimmer voltage (V)
114,skimmer_back,Skimmer back voltage (V)
191,imr_front,IMR front voltage (V)
144,imr_back,IMR back voltage (V)
205,ion_source,Ion source voltage (V)
118,bsq_front,BSQ front voltage (V)
120,bsq_back,BSQ back voltage (V)
89,interlock,Interlock status (0=no 1=yes)
71,tof_p,TOF pressure (mbar)
21,turbo_speed,Turbo pump speed (Hz)
91,tps_temp,TPS temperature (C)